cost_price,current_price,price_to_cost_ratio,target_margin,competitor_median_price,competitor_gap_pct,inventory_coverage_days,available_quantity,ema_daily_sales,demand_velocity_ratio,organic_sales_ratio,rolling_avg_sales_7d,day_of_week,month_of_year,is_festival_period,seasonal_multiplier,is_promotional_event_active,category_encoded,tier_encoded,target_price
2185.43,3207.33,1.4676,0.1787,3099.79,-3.3527,5.79,242,41.813,1.0152,0.7041,33.299,6,1,1,1.0419,0,5,1,3112.22
4778.21,6847.06,1.433,0.1947,7302.07,6.6452,257.49,442,1.717,2.7154,0.9001,2.115,3,2,0,0.986,0,3,1,5796.7
3793.97,4931.14,1.2997,0.2709,5470.0,10.9277,27.33,468,17.122,0.5302,0.7391,16.982,3,3,1,1.0975,1,3,2,5176.05
3193.96,5321.71,1.6662,0.168,4651.23,-12.5988,19.64,428,21.789,0.548,0.638,27.914,1,11,1,1.0804,0,6,2,4533.76
1202.08,1869.4,1.5551,0.2739,2135.23,14.22,5.89,269,45.646,1.3514,0.8082,38.932,0,9,0,0.9684,0,2,0,1714.65
1201.98,2266.74,1.8858,0.1176,2220.34,-2.0472,8.68,222,25.569,1.9304,0.7021,33.123,5,12,1,1.0661,0,2,0,1963.41
761.38,896.36,1.1773,0.2554,737.42,-17.7325,28.49,405,14.215,2.0463,0.8061,11.848,4,3,1,1.0424,1,5,1,910.1
4397.79,7464.32,1.6973,0.2695,8595.62,15.1561,15.07,303,20.112,0.4056,0.8163,18.521,2,6,0,0.979,1,8,2,6393.36
3205.02,5764.25,1.7985,0.1364,5912.62,2.5741,7.01,157,22.385,0.4116,0.8015,23.648,2,9,0,0.9709,0,0,0,4945.18
3686.33,6619.03,1.7956,0.1861,5820.31,-12.0671,8.39,284,33.83,0.9431,0.6977,37.754,6,11,1,1.0628,0,4,0,5529.89
592.63,1127.87,1.9032,0.1331,1045.51,-7.302,11.62,35,3.013,1.4254,0.9254,3.412,2,7,0,1.0068,0,0,2,950.96
4864.59,8608.77,1.7697,0.2413,8847.66,2.7749,24.7,496,20.083,0.8264,0.7178,19.797,4,10,1,1.0452,1,0,2,7224.86
4245.99,8231.44,1.9386,0.2071,7817.15,-5.033,9.09,297,32.681,0.5551,0.7031,24.383,4,12,1,1.0523,0,2,2,7021.59
1455.53,2085.42,1.4328,0.2271,1863.01,-10.6647,1.88,28,14.883,0.5291,0.8316,14.848,2,6,0,1.01,0,2,2,2183.87
1318.21,2079.78,1.5777,0.1393,2062.57,-0.8276,13.0,390,29.996,1.6788,0.8317,27.021,2,2,0,1.019,0,3,2,1852.72
1325.32,1539.98,1.162,0.1423,1345.97,-12.5982,22.42,415,18.507,1.7045,0.9331,20.257,3,6,0,0.9948,0,2,2,1524.12
1869.09,2160.51,1.1559,0.1083,1940.46,-10.1848,10.37,396,38.177,1.3707,0.861,30.899,5,10,1,1.0348,1,5,0,2173.55
